,CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Id,Churn,State,Latitude,Longitude,ZipCode,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
0,3668-QPYBK,Male,No,No,No,2,Month-to-month,Mailed check,Yes,53.85,108.15,3668-QPYBK,Yes,California,33.964131,-118.272783,90003,Yes,No,DSL,Yes,Yes,No,No,No,No
1,9237-HQITU,Female,No,No,Yes,2,Month-to-month,Electronic check,Yes,70.7,151.65,9237-HQITU,Yes,California,34.059281,-118.30742,90005,Yes,No,Fiber optic,No,No,No,No,No,No
2,9305-CDSKC,Female,No,No,Yes,8,Month-to-month,Electronic check,Yes,99.65,820.5,9305-CDSKC,Yes,California,34.048013,-118.293953,90006,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
3,7892-POOKP,Female,No,Yes,Yes,28,Month-to-month,Electronic check,Yes,104.8,3046.05,7892-POOKP,Yes,California,34.062125,-118.31570900000001,90010,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
4,0280-XJGEX,Male,No,No,Yes,49,Month-to-month,Bank transfer (automatic),Yes,103.7,5036.3,0280-XJGEX,Yes,California,34.039224,-118.26629299999999,90015,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
5,4190-MFLUW,Female,No,Yes,No,10,Month-to-month,Credit card (automatic),No,55.2,528.35,4190-MFLUW,Yes,California,34.066367,-118.309868,90020,Yes,No,DSL,No,No,Yes,Yes,No,No
6,8779-QRDMV,Male,Yes,No,No,1,Month-to-month,Electronic check,Yes,39.65,39.65,8779-QRDMV,Yes,California,34.02381,-118.156582,90022,No,No phone service,DSL,No,No,Yes,No,No,Yes
7,1066-JKSGK,Male,No,No,No,1,Month-to-month,Mailed check,No,20.15,20.15,1066-JKSGK,Yes,California,34.066303000000005,-118.435479,90024,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8,6467-CHFZW,Male,No,Yes,Yes,47,Month-to-month,Electronic check,Yes,99.35,4749.15,6467-CHFZW,Yes,California,34.099869,-118.326843,90028,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
9,8665-UTDHZ,Male,No,Yes,No,1,Month-to-month,Electronic check,No,30.2,30.2,8665-UTDHZ,Yes,California,34.089953,-118.294824,90029,No,No phone service,DSL,No,Yes,No,No,No,No
10,8773-HHUOZ,Female,No,No,No,17,Month-to-month,Mailed check,Yes,64.7,1093.1,8773-HHUOZ,Yes,California,34.078821000000005,-118.177576,90032,Yes,No,DSL,No,No,No,No,Yes,Yes
11,6047-YHPVI,Male,No,No,Yes,5,Month-to-month,Electronic check,Yes,69.7,316.9,6047-YHPVI,Yes,California,34.110845,-118.25959499999999,90039,Yes,No,Fiber optic,No,No,No,No,No,No
12,5380-WJKOV,Male,No,No,Yes,34,Month-to-month,Electronic check,Yes,106.35,3549.25,5380-WJKOV,Yes,California,34.137412,-118.20760700000001,90041,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
13,8168-UQWWF,Female,No,No,Yes,11,Month-to-month,Bank transfer (automatic),Yes,97.85,1105.4,8168-UQWWF,Yes,California,34.11572,-118.19275400000001,90042,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
